,LAT,LON,CALLE,BRAND
95,37.4038631,-5.9835274,024 Calle León XIII,Sevici
96,37.3602749,-5.976717,028 Calle Rafael Salgado,Sevici
97,37.3825989,-5.9711549,030 Avenida Eduardo Dato,Sevici
98,37.4055781,-5.9814785,021 Calle Manuel Villalobos,Sevici
99,37.4054796,-5.9303242,221 Avenida Alcalde Luis Uruñuela,Sevici
100,37.3944959,-5.921065,228 Avenida de las Ciencias,Sevici
101,37.3907156,-5.9591607,219 Calle de la A.D.A.,Sevici
102,37.4051738,-5.9331764,222 Avenida Alcalde Luis Uruñuela,Sevici
103,37.4038945,-5.9279828,230 Avenida de las Ciencias,Sevici
104,37.3874563,-5.919972,229 Avenida Aeronáutica,Sevici
105,37.3908025,-5.9196533,227 Avenida Alcalde Luis Uruñuela,Sevici
106,37.4041166,-5.9373269,233 Avenida Alcalde Luis Uruñuela - Aprox. estación de Renfe,Sevici
107,37.4019539,-5.9417776,231 Avenida Alcalde Luis Uruñuela,Sevici
108,37.402591,-5.9405994,240 Avenida Alcalde Luis Uruñuela - Aprox. Cueva de la Pileta,Sevici
109,37.3999402,-5.9251411,234 Calle Médicos Sin Frontera,Sevici
110,37.4009895,-5.9884718,034 Plaza Pumarejo,Sevici
111,37.4016053,-5.9837102,033 Calle León XIII,Sevici
112,37.387051,-5.9748439,082 Calle Luis Montoto,Sevici
113,37.3753464,-5.9527715,245 Calle Las Leandras,Sevici
114,37.376105,-5.9552373,246 Puerto de los Azores,Sevici
115,37.3780604,-5.9518787,244 Avenida Los Gavilanes,Sevici
116,37.3930879,-5.9706,155 Avenida Kansas City,Sevici
117,37.3961217,-5.9668118,154 Avenida Kansas City,Sevici
118,37.4000437,-5.9619306,205 Avenida Kansas City,Sevici
119,37.4093264,-5.9233566,237 Ciudad de Chiva,Sevici
120,37.4029991,-5.9582151,206 Avenida Kansas City,Sevici
121,37.4086892,-5.9279635,239 Calle Ciudad de Liria,Sevici
122,37.4049803,-5.9358132,220 Avda. Alcalde Luis Uruñuela - Aprox. Centro Comercial Zona Este,Sevici
123,37.3914176,-5.9727479,156 Avenida Kansas City,Sevici
124,37.395428,-5.9640258,187 Calle Doctor Laffon,Sevici
125,37.389342,-5.9995125,053 Calle Reyes Católicos,Sevici
126,37.4007128,-5.9265276,223 Calle Gema,Sevici
127,37.3809378,-5.9604646,174 Ronda Tamarguillo,Sevici
128,37.3881429,-5.9938475,075 Plaza San Francisco,Sevici
129,37.392217,-5.9898939,057 Plaza Cristo de Burgos,Sevici
130,37.3971581,-6.0062384,086 Camino de los Descubrimientos,Sevici
131,37.3964777,-5.9873931,047 Calle Hiniesta,Sevici
132,37.399968,-5.9562845,216 Calle Antioquía - Aprox. Avda de Pedro Romero,Sevici
133,37.3790534,-5.9899085,120 Glorieta San Diego,Sevici
134,37.3929973,-5.9868947,056 Plaza Jerónimo de Córdoba,Sevici
135,37.4041941,-6.0073507,067 Calle Leonardo Da Vinci,Sevici
136,37.3975341,-6.0105843,099 Calle Américo Vespucio,Sevici
137,37.409433,-6.0069599,088 Calle Américo Vespucio,Sevici
138,37.4122217,-6.0063862,095 Calle Américo Vespucio,Sevici
139,37.4158701,-6.0057752,123 Estadio Olímpico,Sevici
140,37.3827512,-5.9836676,102 Calle Juan de Mata Carriazo,Sevici
141,37.3874214,-5.9829997,084 Calle José María Moreno Galván,Sevici
142,37.3798544,-5.9746076,109 Avenida San Francisco Javier,Sevici
143,37.3774418,-5.9749724,125 Avenida San Francisco Javier,Sevici
144,37.3731405,-5.9740229,178 Calle José Saramago,Sevici
145,37.4134313,-5.9824322,181 Ronda Urbana Norte - Aprox. C/ Doctor Fedriani,Sevici
146,37.4146363,-5.9738343,182 Calle Victoria Kent,Sevici
147,37.3871686,-5.9486212,213 Avenida de Andalucía - Aprox. Cochera de TUSSAM,Sevici
148,37.3804815,-5.9535723,243 Glorieta del Primero de Mayo - Aprox. C/ Carlos Marx,Sevici
149,37.3996367,-5.9777243,045 Carretera de Carmona,Sevici
150,37.3932438,-5.9838491,055 Calle de Maria Auxiliadora,Sevici
151,37.390463,-5.9980113,063 Calle San Pablo,Sevici
152,37.3837457,-5.9148102,258 Estaca de Vares,Sevici
153,37.4215199,-5.9715297,195 Calle Corral del Agua,Sevici
154,37.4247213,-5.9699087,196 Calle Estrella Canopus,Sevici
155,37.4185712,-5.9732617,194 Calle Parque de Doñana,Sevici
156,37.3851694,-6.0036808,218 Plaza del Altozano,Sevici
157,37.3833998,-6.0082126,094 Plaza del Zurraque,Sevici
158,37.3869518,-6.0076608,091 Calle Procurador,Sevici
159,37.3688783,-5.9813853,158 Avenida Cardenal Bueno Monreal,Sevici
160,37.3860346,-5.9100839,256 Miguel Montoro,Sevici
161,37.3859534,-5.9137797,255 Pero Mingo,Sevici
162,37.3841827,-5.9798343,104 Avenida Eduardo Dato,Sevici
163,37.3842949,-5.9824304,103 Avenida Eduardo Dato,Sevici
164,37.3937233,-5.9818532,066 Calle Arroyo,Sevici
165,37.3647499,-5.9814522,131 Calle Tabladilla,Sevici
166,37.3961269,-5.9588167,203 Calle Tesalónica,Sevici
167,37.3938599,-5.9623474,217 Calle de la A.D.A,Sevici
168,37.3807308,-6.0092094,113 Plaza San Martín de Porres,Sevici
169,37.3730403,-5.9691616,177 Avenida Alcalde Juan Fernández,Sevici
170,37.3801273,-5.9971188,118 Plaza de Cuba,Sevici
171,37.3687499,-5.9572158,190 Avenida Hytasa,Sevici
172,37.3723655,-5.9632292,188 Avenida Hytasa,Sevici
173,37.3846992,-5.9725875,107 Calle Luis Morales,Sevici
174,37.382817,-5.9735307,108 Avenida Eduardo Dato,Sevici
175,37.3806956,-5.9869575,110 Ciudad de Ronda,Sevici
176,37.3813994,-5.9867247,101 Prado de San Sebastián,Sevici
177,37.3957014,-5.9737119,152 CALLE SAMANIEGO,Sevici
178,37.3636194,-5.9847852,132 Calle Paez de Rivera,Sevici
179,37.3740394,-6.0041982,133 Avenida Santa Fe,Sevici
180,37.3747704,-5.9985362,134 Calle Virgen de Luján,Sevici
181,37.3745382,-5.9947455,135 Calle Virgen de Luján,Sevici
182,37.3731194,-5.9976102,136 Calle Asunción,Sevici
183,37.3736779,-5.9854767,137 Avenida de la Borbolla,Sevici
184,37.3760219,-5.9790768,138 Calle Ramón Carande,Sevici
185,37.3750412,-5.9757977,139 Avenida Diego Martínez Barrio,Sevici
186,37.3723704,-5.9773621,140 Calle Felipe II,Sevici
187,37.371606,-5.9818494,141 Calle Felipe II,Sevici
188,37.3716758,-5.9975514,142 Calle Ramón de Carranza,Sevici
189,37.3715555,-6.0032632,143 Calle Ramón de Carranza,Sevici
190,37.369057,-5.9879693,144 Avenida de la Palmera,Sevici
191,37.3602332,-5.9863182,145 Avenida Reina Mercedes,Sevici
192,37.3601006,-5.986313,146 Avenida Reina Mercedes,Sevici
193,37.3986121,-5.973625,148 Calle Tharsis,Sevici
194,37.3978221,-5.9760843,149 Calle Arroyo,Sevici
195,37.3967485,-5.9786342,150 Calle San Juan Bosco,Sevici
196,37.4004879,-5.9983869,036 Calle San Vicente,Sevici
197,37.3987216,-5.9895023,042 Plaza Cronista,Sevici
198,37.3712795,-5.9891934,059 Avenida de la Palmera,Sevici
199,37.3912974,-5.9881754,065 Calle Alhóndiga,Sevici
200,37.3907943,-5.982764,072 Calle Amador de los Ríos,Sevici
201,37.3812308,-5.9935552,090 Calle Roma,Sevici
202,37.3854144,-6.0111606,092 Ronda de Triana,Sevici
203,37.3831234,-6.0108763,093 Ronda de Triana,Sevici
204,37.3815146,-5.9955663,097 Paseo de Cristóbal Colón,Sevici
205,37.3817511,-5.9933071,098 Avenida de Roma,Sevici
206,37.3589104,-5.9806202,105 Calle Francisco Murillo,Sevici
207,37.3801188,-6.0043502,112 Avenida Esperanza de Triana,Sevici
208,37.3777579,-6.0070758,115 Calle López de Gomara,Sevici
209,37.3614304,-5.9816032,116 Calle Manuel Siurot,Sevici
210,37.3773761,-5.9918804,119 Avenida de Chile,Sevici
211,37.3785777,-5.9784022,122 Calle Enramadilla,Sevici
212,37.3777629,-5.9773334,124 Calle Enramadilla,Sevici
213,37.3946087,-5.9799727,151 Calle Urquiza,Sevici
214,37.3629714,-5.9862622,153 Avenida Reina Mercedes,Sevici
215,37.3697994,-5.9781947,157 Avenida Cardenal Bueno Monreal,Sevici
216,37.4000005,-5.9691031,161 Avenida Alcalde Manuel del Valle,Sevici
217,37.3790204,-5.9688772,170 Plaza Antonio Aparicio Herrero,Sevici
218,37.3885079,-5.959401,166 Ronda del Tamarguillo,Sevici
219,37.376576,-5.9727121,169 Avenida Ramón y Cajal,Sevici
220,37.3670886,-5.971157,172 Ronda Tamarguillo,Sevici
221,37.3695198,-5.9686169,173 Ronda Tamarguillo,Sevici
222,37.377487,-5.9665541,176 Avenida de la Ciudad Jardin,Sevici
223,37.4110149,-5.971678,183 Alcalde Manuel del Valle,Sevici
224,37.4086593,-5.9731965,186 Calle Orfebre Dominguez Vázquez,Sevici
225,37.3700534,-5.9594961,189 Avenida Hytasa,Sevici
226,37.3741964,-6.0088305,191 Glorieta Carlos Cano,Sevici
227,37.3783344,-6.0115563,192 Avenida de Alvar Núñez,Sevici
228,37.3811114,-6.0120053,193 Avenida de Coria,Sevici
229,37.4189136,-5.9632171,200 Camino de los Toros,Sevici
230,37.4114666,-5.9667631,202 Avenida Mujer Trabajadora,Sevici
231,37.3976897,-5.9616014,204 Calle Doctor Laffon,Sevici
232,37.3871628,-5.9483902,214 Avenida de Andalucía - Aprox. Entrada TUSSAM,Sevici
233,37.3970135,-5.923757,224 Avenida de las Ciencias,Sevici
234,37.3973905,-5.918777,225 Calle Flor de Retama,Sevici
235,37.4028629,-5.9217537,226 Avenida Doctor Emilio Lemos,Sevici
236,37.4039396,-5.939739,232 Avenida Alcalde Luis Uruñuela,Sevici
237,37.4117358,-5.9298591,235 Ciudad de Chiva,Sevici
238,37.4102171,-5.9264224,236 Ciudad de Chiva,Sevici
239,37.4081326,-5.919993,238 Ciudad de Chiva,Sevici
240,37.3888532,-5.9962357,241 Plaza Nueva,Sevici
241,37.38889,-5.9962396,242 Plaza Nueva,Sevici
242,37.4247584,-5.9848237,249 Calle Navarra,Sevici
243,37.3843494,-5.9653784,251 Avda. Cruz Campo,Sevici
244,37.3837695,-5.9089219,257 Torres Albarracin,Sevici
245,37.3673184,-5.9541171,259 Ocho de Marzo,Sevici
246,37.378801,-5.9456668,260 Revoltosa,Sevici
247,37.3902925,-5.9799642,068 Calle Juan Antonio Cabestany,Sevici
248,37.3757344,-5.9991689,(128) Calle Virgen de Loreto,Sevici
