,LAT,LON,CALLE,BRAND,CAPACITY
94,37.3875947,-5.9608451,Avenida de Andalucía,Sevici,20
95,37.4038631,-5.9835274,Calle León XIII,Sevici,15
96,37.3602749,-5.976717,Calle Rafael Salgado,Sevici,18
97,37.3825989,-5.9711549,Avenida Eduardo Dato,Sevici,20
98,37.4055781,-5.9814785,Calle Manuel Villalobos,Sevici,20
99,37.4054796,-5.9303242,Avenida Alcalde Luis Uruñuela,Sevici,15
100,37.3944959,-5.921065,Avenida de las Ciencias,Sevici,15
101,37.3907156,-5.9591607,Calle de la A.D.A.,Sevici,15
102,37.4051738,-5.9331764,Avenida Alcalde Luis Uruñuela,Sevici,16
103,37.4038945,-5.9279828,Avenida de las Ciencias,Sevici,14
104,37.3874563,-5.919972,Avenida Aeronáutica,Sevici,15
105,37.3908025,-5.9196533,Avenida Alcalde Luis Uruñuela,Sevici,12
106,37.4041166,-5.9373269,Avenida Alcalde Luis Uruñuela - Aprox. estación de Renfe,Sevici,15
107,37.4019539,-5.9417776,Avenida Alcalde Luis Uruñuela,Sevici,14
108,37.402591,-5.9405994,Avenida Alcalde Luis Uruñuela - Aprox. Cueva de la Pileta,Sevici,15
109,37.3999402,-5.9251411,Calle Médicos Sin Frontera,Sevici,14
110,37.4009895,-5.9884718,Plaza Pumarejo,Sevici,15
111,37.4016053,-5.9837102,Calle León XIII,Sevici,15
112,37.387051,-5.9748439,Calle Luis Montoto,Sevici,17
113,37.3753464,-5.9527715,Calle Las Leandras,Sevici,15
114,37.376105,-5.9552373,Puerto de los Azores,Sevici,15
115,37.3780604,-5.9518787,Avenida Los Gavilanes,Sevici,15
116,37.3930879,-5.9706,Avenida Kansas City,Sevici,20
117,37.3961217,-5.9668118,Avenida Kansas City,Sevici,20
118,37.4000437,-5.9619306,Avenida Kansas City,Sevici,20
119,37.4093264,-5.9233566,Ciudad de Chiva,Sevici,15
120,37.4029991,-5.9582151,Avenida Kansas City,Sevici,15
121,37.4086892,-5.9279635,Calle Ciudad de Liria,Sevici,15
122,37.4049803,-5.9358132,Avda. Alcalde Luis Uruñuela - Aprox. Centro Comercial Zona Este,Sevici,30
123,37.3914176,-5.9727479,Avenida Kansas City,Sevici,20
124,37.395428,-5.9640258,Calle Doctor Laffon,Sevici,20
125,37.389342,-5.9995125,Calle Reyes Católicos,Sevici,17
126,37.4007128,-5.9265276,Calle Gema,Sevici,15
127,37.3809378,-5.9604646,Ronda Tamarguillo,Sevici,20
128,37.3881429,-5.9938475,Plaza San Francisco,Sevici,20
129,37.392217,-5.9898939,Plaza Cristo de Burgos,Sevici,15
130,37.3971581,-6.0062384,Camino de los Descubrimientos,Sevici,40
131,37.3964777,-5.9873931,Calle Hiniesta,Sevici,15
132,37.399968,-5.9562845,Calle Antioquía - Aprox. Avda de Pedro Romero,Sevici,15
133,37.3790534,-5.9899085,Glorieta San Diego,Sevici,15
134,37.3929973,-5.9868947,Plaza Jerónimo de Córdoba,Sevici,20
135,37.4041941,-6.0073507,Calle Leonardo Da Vinci,Sevici,20
136,37.3975341,-6.0105843,Calle Américo Vespucio,Sevici,40
137,37.409433,-6.0069599,Calle Américo Vespucio,Sevici,20
138,37.4122217,-6.0063862,Calle Américo Vespucio,Sevici,20
139,37.4158701,-6.0057752,Estadio Olímpico,Sevici,20
140,37.3827512,-5.9836676,Calle Juan de Mata Carriazo,Sevici,20
141,37.3874214,-5.9829997,Calle José María Moreno Galván,Sevici,20
142,37.3798544,-5.9746076,Avenida San Francisco Javier,Sevici,15
143,37.3774418,-5.9749724,Avenida San Francisco Javier,Sevici,15
144,37.3731405,-5.9740229,Calle José Saramago,Sevici,20
145,37.4134313,-5.9824322,Ronda Urbana Norte - Aprox. C/ Doctor Fedriani,Sevici,20
146,37.4146363,-5.9738343,Calle Victoria Kent,Sevici,15
147,37.3871686,-5.9486212,Avenida de Andalucía - Aprox. Cochera de TUSSAM,Sevici,20
148,37.3804815,-5.9535723,Glorieta del Primero de Mayo - Aprox. C/ Carlos Marx,Sevici,15
149,37.3996367,-5.9777243,Carretera de Carmona,Sevici,15
150,37.3932438,-5.9838491,Calle de Maria Auxiliadora,Sevici,15
151,37.390463,-5.9980113,Calle San Pablo,Sevici,20
152,37.3837457,-5.9148102,Estaca de Vares,Sevici,17
153,37.4215199,-5.9715297,Calle Corral del Agua,Sevici,20
154,37.4247213,-5.9699087,Calle Estrella Canopus,Sevici,20
155,37.4185712,-5.9732617,Calle Parque de Doñana,Sevici,20
156,37.3851694,-6.0036808,Plaza del Altozano,Sevici,14
157,37.3833998,-6.0082126,Plaza del Zurraque,Sevici,18
158,37.3869518,-6.0076608,Calle Procurador,Sevici,20
159,37.3688783,-5.9813853,Avenida Cardenal Bueno Monreal,Sevici,20
160,37.3860346,-5.9100839,Miguel Montoro,Sevici,30
161,37.3859534,-5.9137797,Pero Mingo,Sevici,30
162,37.3841827,-5.9798343,Avenida Eduardo Dato,Sevici,20
163,37.3842949,-5.9824304,Avenida Eduardo Dato,Sevici,20
164,37.3937233,-5.9818532,Calle Arroyo,Sevici,20
165,37.3647499,-5.9814522,Calle Tabladilla,Sevici,20
166,37.3961269,-5.9588167,Calle Tesalónica,Sevici,20
167,37.3938599,-5.9623474,Calle de la A.D.A,Sevici,15
168,37.3807308,-6.0092094,Plaza San Martín de Porres,Sevici,15
169,37.3730403,-5.9691616,Avenida Alcalde Juan Fernández,Sevici,17
170,37.3801273,-5.9971188,Plaza de Cuba,Sevici,20
171,37.3687499,-5.9572158,Avenida Hytasa,Sevici,15
172,37.3723655,-5.9632292,Avenida Hytasa,Sevici,20
173,37.3846992,-5.9725875,Calle Luis Morales,Sevici,30
174,37.382817,-5.9735307,Avenida Eduardo Dato,Sevici,15
175,37.3806956,-5.9869575,Ciudad de Ronda,Sevici,20
176,37.3813994,-5.9867247,Prado de San Sebastián,Sevici,40
177,37.3957014,-5.9737119,CALLE SAMANIEGO,Sevici,20
178,37.3636194,-5.9847852,Calle Paez de Rivera,Sevici,20
179,37.3740394,-6.0041982,Avenida Santa Fe,Sevici,20
180,37.3747704,-5.9985362,Calle Virgen de Luján,Sevici,24
181,37.3745382,-5.9947455,Calle Virgen de Luján,Sevici,17
182,37.3731194,-5.9976102,Calle Asunción,Sevici,20
183,37.3736779,-5.9854767,Avenida de la Borbolla,Sevici,20
184,37.3760219,-5.9790768,Calle Ramón Carande,Sevici,20
185,37.3750412,-5.9757977,Avenida Diego Martínez Barrio,Sevici,15
186,37.3723704,-5.9773621,Calle Felipe II,Sevici,16
187,37.371606,-5.9818494,Calle Felipe II,Sevici,20
188,37.3716758,-5.9975514,Calle Ramón de Carranza,Sevici,18
189,37.3715555,-6.0032632,Calle Ramón de Carranza,Sevici,18
190,37.369057,-5.9879693,Avenida de la Palmera,Sevici,20
191,37.3602332,-5.9863182,Avenida Reina Mercedes,Sevici,20
192,37.3601006,-5.986313,Avenida Reina Mercedes,Sevici,20
193,37.3986121,-5.973625,Calle Tharsis,Sevici,20
194,37.3978221,-5.9760843,Calle Arroyo,Sevici,20
195,37.3967485,-5.9786342,Calle San Juan Bosco,Sevici,20
196,37.4004879,-5.9983869,Calle San Vicente,Sevici,20
197,37.3987216,-5.9895023,Plaza Cronista,Sevici,15
198,37.3712795,-5.9891934,Avenida de la Palmera,Sevici,18
199,37.3912974,-5.9881754,Calle Alhóndiga,Sevici,14
200,37.3907943,-5.982764,Calle Amador de los Ríos,Sevici,20
201,37.3812308,-5.9935552,Calle Roma,Sevici,20
202,37.3854144,-6.0111606,Ronda de Triana,Sevici,20
203,37.3831234,-6.0108763,Ronda de Triana,Sevici,15
204,37.3815146,-5.9955663,Paseo de Cristóbal Colón,Sevici,20
205,37.3817511,-5.9933071,Avenida de Roma,Sevici,30
206,37.3589104,-5.9806202,Calle Francisco Murillo,Sevici,19
207,37.3801188,-6.0043502,Avenida Esperanza de Triana,Sevici,20
208,37.3777579,-6.0070758,Calle López de Gomara,Sevici,20
209,37.3614304,-5.9816032,Calle Manuel Siurot,Sevici,20
210,37.3773761,-5.9918804,Avenida de Chile,Sevici,20
211,37.3785777,-5.9784022,Calle Enramadilla,Sevici,20
212,37.3777629,-5.9773334,Calle Enramadilla,Sevici,20
213,37.3946087,-5.9799727,Calle Urquiza,Sevici,20
214,37.3629714,-5.9862622,Avenida Reina Mercedes,Sevici,27
215,37.3697994,-5.9781947,Avenida Cardenal Bueno Monreal,Sevici,20
216,37.4000005,-5.9691031,Avenida Alcalde Manuel del Valle,Sevici,20
217,37.3790204,-5.9688772,Plaza Antonio Aparicio Herrero,Sevici,18
218,37.3885079,-5.959401,Ronda del Tamarguillo,Sevici,13
219,37.376576,-5.9727121,Avenida Ramón y Cajal,Sevici,20
220,37.3670886,-5.971157,Ronda Tamarguillo,Sevici,19
221,37.3695198,-5.9686169,Ronda Tamarguillo,Sevici,20
222,37.377487,-5.9665541,Avenida de la Ciudad Jardin,Sevici,20
223,37.4110149,-5.971678,Alcalde Manuel del Valle,Sevici,15
224,37.4086593,-5.9731965,Calle Orfebre Dominguez Vázquez,Sevici,20
225,37.3700534,-5.9594961,Avenida Hytasa,Sevici,20
226,37.3741964,-6.0088305,Glorieta Carlos Cano,Sevici,20
227,37.3783344,-6.0115563,Avenida de Alvar Núñez,Sevici,19
228,37.3811114,-6.0120053,Avenida de Coria,Sevici,20
229,37.4189136,-5.9632171,Camino de los Toros,Sevici,20
230,37.4114666,-5.9667631,Avenida Mujer Trabajadora,Sevici,20
231,37.3976897,-5.9616014,Calle Doctor Laffon,Sevici,15
232,37.3871628,-5.9483902,Avenida de Andalucía - Aprox. Entrada TUSSAM,Sevici,20
233,37.3970135,-5.923757,Avenida de las Ciencias,Sevici,15
234,37.3973905,-5.918777,Calle Flor de Retama,Sevici,15
235,37.4028629,-5.9217537,Avenida Doctor Emilio Lemos,Sevici,15
236,37.4039396,-5.939739,Avenida Alcalde Luis Uruñuela,Sevici,15
237,37.4117358,-5.9298591,Ciudad de Chiva,Sevici,15
238,37.4102171,-5.9264224,Ciudad de Chiva,Sevici,15
239,37.4081326,-5.919993,Ciudad de Chiva,Sevici,15
240,37.3888532,-5.9962357,Plaza Nueva,Sevici,20
241,37.38889,-5.9962396,Plaza Nueva,Sevici,20
242,37.4247584,-5.9848237,Calle Navarra,Sevici,15
243,37.3843494,-5.9653784,Avda. Cruz Campo,Sevici,15
244,37.3837695,-5.9089219,Torres Albarracin,Sevici,20
245,37.3673184,-5.9541171,Ocho de Marzo,Sevici,30
246,37.378801,-5.9456668,Revoltosa,Sevici,20
247,37.3902925,-5.9799642,Calle Juan Antonio Cabestany,Sevici,15
248,37.3757344,-5.9991689,) Calle Virgen de Loreto,Sevici,18
